"7 Апреля 2019 [11 45]" "8 апреля в горах Дагестана выше 2500 м  в горах Республики Алтай лавиноопасно "
"6 Апреля 2019 [10 55]" "7-9 апреля в горных районах муниципального образования город-курорт Сочи выше 1000 м лавиноопасно "
"6 Апреля 2019 [09 30]" "7 апреля в горах Дагестана  выше 2500 м   7-9 апреля в горах Краснодарского края и Адыгеи  выше 1500 м  в горах Ингушетии и Чеченской Республики  выше 2500 м  лавиноопасно "
"5 Апреля 2019 [13 03]" "Ночью и утром 6 апреля в центральных районах и местами в южной половине  исключая Мостовской и Отрадненский районы  Краснодарского края сохранятся заморозки  температура -2   -1°  "
"5 Апреля 2019 [10 38]" "6 апреля в горах Дагестана выше 2500 м лавиноопасно "
"5 Апреля 2019 [09 53]" "С 15 00 часов 5 апреля на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается очень сильный ветер 22-27 м/с  метель "
"5 Апреля 2019 [08 58]" "Ночью и утром 6 апреля в Адыгее сохранятся заморозки  температура -2   -1°  "
"4 Апреля 2019 [14 42]" "5 апреля в горах Дагестана выше 2500 м лавиноопасно "
"4 Апреля 2019 [06 42]" "4-7 апреля в горах Камчатского края лавиноопасно "
"4 Апреля 2019 [06 42]" "4-7 апреля в горах Камчатского края лавиноопасно "
"4 Апреля 2019 [06 42]" "4-7 апреля в горах Камчатского края лавиноопасно "
"3 Апреля 2019 [13 23]" "Ночью и утром 4 апреля в Челябинской области ожидаются сильные осадки  дождь  снег  мокрый снег   сильное отложение мокрого снега  в горах сильная гололедица  ветер до 18 м/с "
"3 Апреля 2019 [11 55]" "Ночью и утром 4-5 апреля в Краснодарском крае местами в южных и центральных районах ожидаются заморозки  температура -2   -1°  "
"3 Апреля 2019 [11 34]" "Ночью и утром 4-5 апреля в Адыгее ожидаются заморозки  температура -2   -1°  "
"3 Апреля 2019 [06 15]" "В ближайшие 3-6 часов 3 апреля местами по южной половине Бурятии  3 апреля и в течение суток 4 апреля местами в Забайкальском края ожидается очень сильный ветер с порывами до 25 м/с "
"3 Апреля 2019 [06 15]" "В ближайшие 3-6 часов 3 апреля местами по южной половине Бурятии  3 апреля и в течение суток 4 апреля местами в Забайкальском края ожидается очень сильный ветер с порывами до 25 м/с "
"2 Апреля 2019 [13 35]" "До конца дня 2 апреля местами в Ханты-Мансийском автономном округе ожидается очень сильный ветер с порывами 20-25 м/с "
"2 Апреля 2019 [12 45]" "Утром  днем и вечером 3 апреля в связи с выходом южного циклона местами в Челябинской области ожидаются сильные осадки  сильное отложение мокрого снега на провода  сильный гололед  усиление ветра до 25 м/с "
"2 Апреля 2019 [11 20]" "Ночью и утром 3  4 и 5 апреля в северо-западных районах Ставропольского края ожидаются заморозки в воздухе  температура до -1   -2°  "
"2 Апреля 2019 [10 55]" "3 апреля в Иркутской области местами в западных  северных  центральных и Верхнеленских районах ожидается усиление западного  северо-западного ветра 20-25 м/с "
"2 Апреля 2019 [10 50]" "В период с 18 часов 2 апреля до 18 часов 3 апреля в горах Дагестана выше 2500 м лавиноопасно "
"1 Апреля 2019 [10 10]" "В период с 18 часов 1 апреля до 18 часов 2 апреля в горах Дагестана выше 2500 м лавиноопасно "
"27 Марта 2019 [12 14]" "29-31 марта в северо-западных районах Ставропольского края ожидаются заморозки  температура ночью и утром до -3°  "
"27 Марта 2019 [12 12]" "28 марта в горах Дагестана выше 2500 м лавиноопасно "
"26 Марта 2019 [14 30]" "28-30 марта в Адыгее местами сохранятся заморозки  температура ночью и утром -4   -1°  "
"26 Марта 2019 [12 45]" "28-30 марта в Краснодарском крае местами ожидаются заморозки  температура ночью и утром -2   -1°   по восточной половине края  до -4°  "
"26 Марта 2019 [09 33]" "27 марта в горах Дагестана выше 2500 м лавиноопасно "
"26 Марта 2019 [08 18]" "С 15 час  МСК  26 марта с сохранением 27 марта на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ожидается сильный южный ветер 22-27 м/с  метель "
"26 Марта 2019 [08 10]" "Ночью и утром 27 марта в Адыгее сохранятся заморозки в воздухе  температура до -4°  "
"26 Марта 2019 [01 00]" "В ближайшие 3 часа 26 марта с продолжительностью около 15 часов в районе г  Анадырь Чукотского автономного округа ожидается дальнейшее усиление восточного ветра 30-35 м/с с порывами 40-45 м/с  сильная метель "
"25 Марта 2019 [19 55]" "Ночью 25 марта и утром 26 марта в Хакасии местами ожидается сильное гололедно-изморозевое отложение на проводах "
"25 Марта 2019 [16 40]" "26-28 марта в горах Республики Алтай лавиноопасно "
